Product,Category,Exports (%),Country
Crude Petroleum,Energy,84.7,ANGOLA
Diamonds,Metals,6.7,ANGOLA
Petroleum Gas,Energy,6.25,ANGOLA
Refined Petroleum,Energy,1.26,ANGOLA
Crustaceans,Soft,0.11,ANGOLA
Crude Petroleum,Energy,22.5,RUSSIA
Refined Petroleum,Energy,14.5,RUSSIA
Petroleum Gas,Energy,5.98,RUSSIA
Gold,Metals,5.67,RUSSIA
Coal ,Energy,4.4,RUSSIA
Gold,Metals,30.7,AFGHANISTAN
Grapes,Soft,10.3,AFGHANISTAN
Other Nuts,Soft,8,AFGHANISTAN
Tropical Fruits,Soft,7.68,AFGHANISTAN
Cotton,Soft,6.48,AFGHANISTAN
Soybeans,Soft,13.4,BRAZIL
Iron Ore,Industrial,12.3,BRAZIL
Crude Petroleum,Energy,9.25,BRAZIL
Sugar,Soft,4.17,BRAZIL
Beef,Soft,3.12,BRAZIL
Beef,Soft,20.46,URUGUAY 
Sulfate Chemical Woodpulp,Other,15.5,URUGUAY 
Rice,Soft,6.26,URUGUAY 
Milk,Soft,6.2,URUGUAY 
Soybeans,Soft,4.78,URUGUAY 
Crude Petroleum,Energy,23.2,COLOMBIA
Coal ,Energy,12.8,COLOMBIA
Coffee,Soft,7.9,COLOMBIA
Gold,Metals,7.28,COLOMBIA
Refined Petroleum,Energy,4.82,COLOMBIA
Copper,Industrial,27.23,PERU
Gold,Metals,15.9,PERU
Petroleum Gas,Energy,3.48,PERU
Animal Meal,Soft,2.94,PERU
Tropical Fruits,Soft,2.85,PERU
Gold,Metals,70.6,GUINEA
Aluminum,Industrial,25.9,GUINEA
Aluminum Oxide,Industrial,0.77,GUINEA
Fish,Soft,0.38,GUINEA
Cocoa,Soft,0.34,GUINEA
Cars,Industrial,9.76,MEXICO
Computers,Industrial,7.37,MEXICO
Vehicle Parts,Industrial,6.37,MEXICO
Delivery Trucks,Industrial,5.57,MEXICO
Crude Petroleum,Energy,4.18,MEXICO
Copper,Industrial,50.52,CHILE
Fish,Soft,3.44,CHILE
Sulfate Chemical Woodpulp,Other,2.81,CHILE
Fruits,Soft,2.62,CHILE
Wine,Soft,2.45,CHILE
