US Denominated Exchange Rates,YTD Performance (%)
ANGOLAN KWANZA / U.S. DOLLAR (AOAUSD),30.3
RUSSIAN RUBLE / U.S. DOLLAR (RUBUSD),21.7
AFGHAN AFGHANI / U.S. DOLLAR (AFNUSD),16.9
BRAZILIAN REAL / U.S. DOLLAR (BRLUSD),16
URUGUAYAN PESO / U.S. DOLLAR (UYUUSD) ,12.1
COLOMBIAN PESO / U.S. DOLLAR (COPUSD),7.02
PERUVIAN SOL / U.S. DOLLAR (PENUSD),6.89
GUINEAN FRANC / U.S. DOLLAR (GNFUSD) ,5.83
MEXICAN PESO / U.S. DOLLAR (MXNUSD) ,4.81
CHILEAN PESO / U.S. DOLLAR (CLPUSD),4.02
SRI LANKAN RUPEE / U.S. DOLLAR (LKRUSD),-44.21
GHANAIAN CEDI / U.S. DOLLAR (GHSUSD),-22.44
LAO KIP / U.S. DOLLAR (LAKUSD),-20.93
MALAWIAN KWACHA / U.S. DOLLAR (MWKUSD),-20.27
TURKISH LIRA / U.S. DOLLAR (TRYUSD),-20.07
EGYPTIAN POUND / U.S. DOLLAR (EGPUSD),-15.85
ARGENTINE PESO / U.S. DOLLAR (ARSUSD),-15.1
SIERRA LEONEAN LEONE / U.S. DOLLAR (SLLUSD),-14.2
JAPANESE YEN / U.S. DOLLAR (JPYUSD),-12.7
PAKISTANI RUPEE / U.S. DOLLAR (PKRUSD),-10.8
